I,time,atemp,cad,hr,lat,lon
219,2020-05-31T17:56:14.000Z,21.0,0,157,43.71810500510036945343017578125,-79.35330499894917011260986328125
220,2020-05-31T17:56:16.000Z,21.0,0,159,43.718092180788516998291015625,-79.35327750630676746368408203125
221,2020-05-31T17:56:18.000Z,21.0,0,160,43.71808069758117198944091796875,-79.35326895676553249359130859375
222,2020-05-31T17:56:19.000Z,21.0,0,159,43.71805236674845218658447265625,-79.35323693789541721343994140625
223,2020-05-31T17:56:21.000Z,21.0,0,160,43.71803694404661655426025390625,-79.3532205931842327117919921875
224,2020-05-31T17:56:22.000Z,21.0,0,160,43.71801129542291164398193359375,-79.35319586656987667083740234375
225,2020-05-31T17:56:24.000Z,21.0,0,160,43.71795563958585262298583984375,-79.3531763367354869842529296875
226,2020-05-31T17:56:26.000Z,21.0,0,160,43.7178683839738368988037109375,-79.35312462039291858673095703125
227,2020-05-31T17:56:30.000Z,21.0,90,163,43.71784164570271968841552734375,-79.35311925597488880157470703125
228,2020-05-31T17:56:31.000Z,21.0,90,163,43.71779747307300567626953125,-79.35311389155685901641845703125
229,2020-05-31T17:56:34.000Z,21.0,90,161,43.717768974602222442626953125,-79.3531226925551891326904296875
230,2020-05-31T17:56:36.000Z,21.0,89,160,43.7175713293254375457763671875,-79.353161752223968505859375
231,2020-05-31T17:56:44.000Z,21.0,90,160,43.717437051236629486083984375,-79.3532355129718780517578125
232,2020-05-31T17:56:50.000Z,21.0,87,157,43.71732817031443119049072265625,-79.3533013947308063507080078125
233,2020-05-31T17:56:55.000Z,21.0,83,154,43.717161118984222412109375,-79.35317122377455234527587890625
234,2020-05-31T17:57:02.000Z,21.0,82,154,43.7171207182109355926513671875,-79.35313065536320209503173828125
235,2020-05-31T17:57:05.000Z,21.0,87,154,43.717076964676380157470703125,-79.353145994246006011962890625
236,2020-05-31T17:57:08.000Z,21.0,86,153,43.71699373237788677215576171875,-79.3532105349004268646240234375
237,2020-05-31T17:57:15.000Z,21.0,87,151,43.71698384173214435577392578125,-79.35323777608573436737060546875
238,2020-05-31T17:57:17.000Z,21.0,87,152,43.716785944998264312744140625,-79.35333282686769962310791015625
239,2020-05-31T17:57:25.000Z,21.0,92,151,43.71676750481128692626953125,-79.35333869419991970062255859375
240,2020-05-31T17:57:26.000Z,21.0,92,150,43.71661487035453319549560546875,-79.3533428013324737548828125
241,2020-05-31T17:57:31.000Z,21.0,90,150,43.7164488248527050018310546875,-79.35319888405501842498779296875
242,2020-05-31T17:57:38.000Z,21.0,89,148,43.71643901802599430084228515625,-79.35318614356219768524169921875
243,2020-05-31T17:57:39.000Z,21.0,89,148,43.7163928337395191192626953125,-79.3531126342713832855224609375
244,2020-05-31T17:57:43.000Z,21.0,79,148,43.7162999622523784637451171875,-79.35302420519292354583740234375
245,2020-05-31T17:57:48.000Z,21.0,85,150,43.716283701360225677490234375,-79.35299151577055454254150390625
246,2020-05-31T17:57:50.000Z,21.0,85,151,43.7161286361515522003173828125,-79.352828152477741241455078125
247,2020-05-31T17:57:56.000Z,21.0,86,151,43.716069795191287994384765625,-79.35277425684034824371337890625
248,2020-05-31T17:57:58.000Z,21.0,86,152,43.7159211002290248870849609375,-79.3525822274386882781982421875
249,2020-05-31T17:58:05.000Z,21.0,87,150,43.7157615087926387786865234375,-79.35250670649111270904541015625
250,2020-05-31T17:58:13.000Z,21.0,86,149,43.715737871825695037841796875,-79.3524890206754207611083984375
251,2020-05-31T17:58:15.000Z,21.0,80,149,43.71573074720799922943115234375,-79.35247820802032947540283203125
252,2020-05-31T17:58:16.000Z,21.0,80,149,43.71572856791317462921142578125,-79.352466054260730743408203125
253,2020-05-31T17:58:17.000Z,21.0,80,149,43.71570711024105548858642578125,-79.35239539481699466705322265625
254,2020-05-31T17:58:21.000Z,21.0,81,149,43.7156713195145130157470703125,-79.35229347087442874908447265625
255,2020-05-31T17:58:26.000Z,21.0,82,149,43.7156562320888042449951171875,-79.35225742869079113006591796875
256,2020-05-31T17:58:28.000Z,21.0,81,148,43.71564256958663463592529296875,-79.35222088359296321868896484375
257,2020-05-31T17:58:30.000Z,21.0,82,148,43.7156280688941478729248046875,-79.3521996773779392242431640625
258,2020-05-31T17:58:31.000Z,21.0,84,148,43.71560317464172840118408203125,-79.3520675785839557647705078125
