I,time,atemp,cad,hr,lat,lon
431,2020-05-28T01:42:33.000Z,25.0,81,123,43.72525493614375591278076171875,-79.3614445813000202178955078125
432,2020-05-28T01:42:42.000Z,25.0,82,124,43.72520280070602893829345703125,-79.36119957827031612396240234375
433,2020-05-28T01:42:51.000Z,25.0,81,125,43.725179247558116912841796875,-79.36116403900086879730224609375
434,2020-05-28T01:42:53.000Z,25.0,80,125,43.72508562169969081878662109375,-79.36119672842323780059814453125
435,2020-05-28T01:42:58.000Z,25.0,84,125,43.72495628893375396728515625,-79.3612273223698139190673828125
436,2020-05-28T01:43:04.000Z,25.0,84,126,43.72486987151205539703369140625,-79.36124014668166637420654296875
437,2020-05-28T01:43:08.000Z,25.0,89,126,43.72477398253977298736572265625,-79.3612581677734851837158203125
438,2020-05-28T01:43:13.000Z,25.0,85,126,43.72468412853777408599853515625,-79.3612856604158878326416015625
439,2020-05-28T01:43:19.000Z,25.0,85,126,43.72462235391139984130859375,-79.36130183748900890350341796875
440,2020-05-28T01:43:22.000Z,25.0,85,125,43.7244783528149127960205078125,-79.36133972369134426116943359375
441,2020-05-28T01:43:28.000Z,25.0,85,125,43.72437114827334880828857421875,-79.3613621033728122711181640625
442,2020-05-28T01:43:32.000Z,25.0,86,124,43.72429101727902889251708984375,-79.36137735843658447265625
443,2020-05-28T01:43:35.000Z,25.0,85,121,43.72426520101726055145263671875,-79.36138850636780261993408203125
444,2020-05-28T01:43:36.000Z,25.0,85,118,43.72424055822193622589111328125,-79.36139814555644989013671875
445,2020-05-28T01:43:37.000Z,25.0,85,118,43.72412203811109066009521484375,-79.361471235752105712890625
446,2020-05-28T01:43:42.000Z,25.0,83,120,43.7240300886332988739013671875,-79.3615263886749744415283203125
447,2020-05-28T01:43:46.000Z,25.0,83,121,43.72394065372645854949951171875,-79.3616149015724658966064453125
448,2020-05-28T01:43:51.000Z,25.0,83,121,43.72384577058255672454833984375,-79.36170919798314571380615234375
449,2020-05-28T01:43:56.000Z,25.0,83,120,43.723781816661357879638671875,-79.3618019856512546539306640625
450,2020-05-28T01:44:00.000Z,25.0,83,119,43.72377083636820316314697265625,-79.3618288077414035797119140625
451,2020-05-28T01:44:01.000Z,25.0,84,120,43.72371618635952472686767578125,-79.3619360961019992828369140625
452,2020-05-28T01:44:06.000Z,25.0,86,122,43.72366882860660552978515625,-79.3620358407497406005859375
453,2020-05-28T01:44:10.000Z,25.0,89,122,43.72362549416720867156982421875,-79.362162239849567413330078125
454,2020-05-28T01:44:15.000Z,25.0,86,122,43.72357469983398914337158203125,-79.36227346770465373992919921875
455,2020-05-28T01:44:20.000Z,25.0,83,123,43.72352742590010166168212890625,-79.3624383397400379180908203125
456,2020-05-28T01:44:26.000Z,25.0,83,123,43.7234939821064472198486328125,-79.3626897968351840972900390625
457,2020-05-28T01:44:34.000Z,25.0,83,124,43.72348199598491191864013671875,-79.36291384510695934295654296875
458,2020-05-28T01:44:42.000Z,25.0,82,120,43.7235177867114543914794921875,-79.363177120685577392578125
459,2020-05-28T01:44:50.000Z,25.0,82,120,43.72356564737856388092041015625,-79.3632725067436695098876953125
